event,date,division,rank,name,name_short,country,medal,date_raw,_page
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,1,NITU NITU,NITU NITU,IND,Gold,25.03,65
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,2,LUTSAIKHAN ALTANTSETSEG,LUTSAIKHAN ALTANTSETSEG,MGL,Silver,25.03,65
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,3,BALKIBEKOVA ALUA,BALKIBEKOVA ALUA,KAZ,Bronze,25.03,65
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,3,MOUTTAKI YASMINE,MOUTTAKI YASMINE,MAR,Bronze,25.03,65
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,5,WADA MADOKA,WADA MADOKA,JPN,,25.03,65
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,5,FOZILOVA FARZONA,FOZILOVA FARZONA,UZB,,25.03,65
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,5,BARUT ERIVAN,BARUT ERIVAN,TUR,,25.03,65
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 45-48KG Minimum,5,ASENOVA SEVDA_YULIYANOVA,ASENOVA SEVDA_YULIYANOVA,BUL,,25.03,65
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 48-50KG Light Fly,1,NIKHAT ZAREEN,NIKHAT ZAREEN,IND,Gold,2023-04-09,66
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 48-50KG Light Fly,2,NGUYEN THI TAM,NGUYEN THI TAM,VIE,Silver,2023-04-09,66
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 48-50KG Light Fly,3,VALENCIA_VICTORIA INGRIT_LORENA,VALENCIA_VICTORIA INGRIT_LORENA,COL,Bronze,2023-04-09,66
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 48-50KG Light Fly,3,LKHADIRI WASSILA,LKHADIRI WASSILA,FRA,Bronze,2023-04-09,66
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 48-50KG Light Fly,5,RAKSAT CHUTHAMAT,RAKSAT CHUTHAMAT,THA,,2023-04-09,66
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 48-50KG Light Fly,5,FUERTES_FERNANDEZ LAURA,FUERTES_FERNANDEZ LAURA,ESP,,2023-04-09,66
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 48-50KG Light Fly,5,SORRENTINO GIORDANA,SORRENTINO GIORDANA,ITA,,2023-04-09,66
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 48-50KG Light Fly,5,CHEDDAR RABAB,CHEDDAR RABAB,MAR,,2023-04-09,66
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 48-50KG Light Fly,1,NIKHAT ZAREEN,NIKHAT ZAREEN,IND,Gold,2023-04-09,67
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 48-50KG Light Fly,2,NGUYEN THI TAM,NGUYEN THI_TAM,VIE,Silver,2023-04-09,67
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 48-50KG Light Fly,3,VALENCIA VICTORIA INGRIT LORENA,VALENCIA_VICTORIA INGRIT_LORENA,COL,Bronze,2023-04-09,67
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 48-50KG Light Fly,3,LKHADIRI WASSILA,LKHADIRI WASSILA,FRA,Bronze,2023-04-09,67
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 48-50KG Light Fly,5,RAKSAT CHUTHAMAT,RAKSAT CHUTHAMAT,THA,,2023-04-09,67
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 48-50KG Light Fly,5,FUERTES FERNANDEZ LAURA,FUERTES_FERNANDEZ LAURA,ESP,,2023-04-09,67
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 48-50KG Light Fly,5,SORRENTINO GIORDANA,SORRENTINO GIORDANA,ITA,,2023-04-09,67
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 48-50KG Light Fly,5,CHEDDAR RABAB,CHEDDAR RABAB,MAR,,2023-04-09,67
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,1,NIKHAT ZAREEN,NIKHAT ZAREEN,IND,Gold,2023-03-26,68
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,2,NGUYEN THI TAM,NGUYEN THI TAM,VIE,Silver,2023-03-26,68
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,3,"VALENCIA, VICTORIA INGRIT LORENA","VALENCIA, VICTORIA INGRIT LORENA",COL,Bronze,2023-03-26,68
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,3,LKHADIRI WASSILA,LKHADIRI WASSILA,FRA,Bronze,2023-03-26,68
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,5,RAKSAT CHUTHAMAT,RAKSAT CHUTHAMAT,THA,,2023-03-26,68
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,5,FUERTES FERNANDEZ LAURA,FUERTES FERNANDEZ LAURA,ESP,,2023-03-26,68
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,5,SORRENTINO GIORDANA,SORRENTINO GIORDANA,ITA,,2023-03-26,68
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 48-50KG Light Fly,5,CHEDDAR RABAB,CHEDDAR RABAB,MAR,,2023-03-26,68
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 50-52KG Fly,1,WU YU,WU YU,CHN,Gold,25.03,69
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 50-52KG Fly,2,CHARAABI SIRINE,CHARAABI SIRINE,ITA,Silver,25.03,69
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 50-52KG Fly,3,APANASOVICH YULIYA,APANASOVICH YULIYA,BLR,Bronze,25.03,69
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 50-52KG Fly,3,KINOSHITA RINKA,KINOSHITA RINKA,JPN,Bronze,25.03,69
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 50-52KG Fly,5,SAKSHI SAKSHI,SAKSHI SAKSHI,IND,,25.03,69
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 50-52KG Fly,5,OYUNTSETSEG YESUGEN,OYUNTSETSEG YESUGEN,MGL,,25.03,69
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 50-52KG Fly,5,TELI ANJANI,TELI ANJANI,NEP,,25.03,69
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 50-52KG Fly,5,MOULAI ROMANE,MOULAI ROMANE,FRA,,25.03,69
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,1,HUANG HSIAO-WEN,HUANG HSIAO-WEN,TPE,Gold,2023-03-26,70
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,2,ARIAS CASTANEDA YENI MARCELA,ARIAS CASTANEDA YENI MARCELA,COL,Silver,2023-03-26,70
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,3,JITPONG JUTAMAS,JITPONG JUTAMAS,THA,Bronze,2023-03-26,70
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,3,MUNGUNTSETSEG ENKJARGAL,MUNGUNTSETSEG ENKJARGAL,MGL,Bronze,2023-03-26,70
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,5,MANCINI DELPHINE,MANCINI DELPHINE,FRA,,2023-03-26,70
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,5,SHEKERBEKOVA ZHANNA,SHEKERBEKOVA ZHANNA,KAZ,,2023-03-26,70
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,5,GOMEZ LANDAETA JOHANA CAROLINA,GOMEZ LANDAETA JOHANA CAROLINA,VEN,,2023-03-26,70
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,5,SAVCHUK OLENA,SAVCHUK OLENA,ITA,,2023-03-26,70
"IBA Womens World Boxing Championships 2023, New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,1,HUANG HSIAO-WEN,HUANG HSIAO-WEN,TPE,Gold,2023-03-26,71
"IBA Womens World Boxing Championships 2023, New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,2,ARIAS_CASTANEDA YENI_MARCELA,ARIAS_CASTANEDA YENI_MARCELA,COL,Silver,2023-03-26,71
"IBA Womens World Boxing Championships 2023, New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,3,JITPONG JUTAMAS,JITPONG JUTAMAS,THA,Bronze,2023-03-26,71
"IBA Womens World Boxing Championships 2023, New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,3,MUNGUNTSETSEG ENKJHARGAL,MUNGUNTSETSEG ENKJHARGAL,MGL,Bronze,2023-03-26,71
"IBA Womens World Boxing Championships 2023, New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,5,MANCINI DELPHINE,MANCINI DELPHINE,FRA,,2023-03-26,71
"IBA Womens World Boxing Championships 2023, New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,5,SHEKERBEKOVA ZHAINA,SHEKERBEKOVA ZHAINA,KAZ,,2023-03-26,71
"IBA Womens World Boxing Championships 2023, New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,5,GOMEZ_LANDAETA JOHANA_CAROLINA,GOMEZ_LANDAETA JOHANA_CAROLINA,VEN,,2023-03-26,71
"IBA Womens World Boxing Championships 2023, New Delhi, IND",2023-03-26,Elite Women 52-54KG Bantam,5,SAVCHUK OLENA,SAVCHUK OLENA,ITA,,2023-03-26,71
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 52-54KG Bantam,1,HUANG HSIAO-WEN,HUANG HSIAO-WEN,TPE,Gold,2023-03-26,72
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 52-54KG Bantam,2,ARIAS CASTANEDA YENI MARCELA,ARIAS CASTANEDA YENI MARCELA,COL,Silver,2023-03-26,72
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 52-54KG Bantam,3,JITPONG JUTAMAS,JITPONG JUTAMAS,THA,Bronze,2023-03-26,72
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 52-54KG Bantam,3,MUNGUNTSETSEG ENKJARGAL,MUNGUNTSETSEG ENKJARGAL,MGL,Bronze,2023-03-26,72
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 52-54KG Bantam,5,MANCINI DELPHINE,MANCINI DELPHINE,FRA,,2023-03-26,72
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 52-54KG Bantam,5,SHEKERBEKOVA ZHAINA,SHEKERBEKOVA ZHAINA,KAZ,,2023-03-26,72
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 52-54KG Bantam,5,GOMEZ LANDAETA JOHANA CAROLINA,GOMEZ LANDAETA JOHANA CAROLINA,VEN,,2023-03-26,72
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 52-54KG Bantam,5,SAVCHUK OLENA,SAVCHUK OLENA,ITA,,2023-03-26,72
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 54-57KG Feather,1,TESTA IRMA,TESTA IRMA,ITA,Gold,2023-04-09,73
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 54-57KG Feather,2,IBRAGIMOVA KARINA,IBRAGIMOVA KARINA,KAZ,Silver,2023-04-09,73
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 54-57KG Feather,3,ZIDANI AMINA,ZIDANI AMINA,FRA,Bronze,2023-04-09,73
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 54-57KG Feather,3,STANEVA SVETLANA_KAMENOVA,STANEVA SVETLANA_KAMENOVA,BUL,Bronze,2023-04-09,73
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 54-57KG Feather,5,ROUME JUCIELEN,ROUME JUCIELEN,BRA,,2023-04-09,73
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 54-57KG Feather,5,ALCALA OMALYN,ALCALA OMALYN,VEN,,2023-04-09,73
IBA Womens World Boxing Championships 2023,2023-04-09,Elite Women 54-57KG Feather,5,MANISHA MANISHA,MANISHA MANISHA,IND,,2023-04-09,73
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 54-57KG Feather,1,TESTA IRMA,TESTA IRMA,ITA,Gold,2023-04-09,74
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 54-57KG Feather,2,IBRAGIMOVA KARINA,IBRAGIMOVA KARINA,KAZ,Silver,2023-04-09,74
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 54-57KG Feather,3,ZIDANI AMINA,ZIDANI AMINA,FRA,Bronze,2023-04-09,74
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 54-57KG Feather,3,STANEVA SVETLANA_KAMENOVA,STANEVA SVETLANA_KAMENOVA,BUL,Bronze,2023-04-09,74
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 54-57KG Feather,5,ROMEU JUCIELEN,ROMEU JUCIELEN,BRA,,2023-04-09,74
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 54-57KG Feather,5,ALCALA OMAILY,ALCALA OMAILY,VEN,,2023-04-09,74
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 54-57KG Feather,5,MANISHA MANISHA,MANISHA MANISHA,IND,,2023-04-09,74
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,1,TESTA IRMA,TESTA IRMA,ITA,Gold,2023-03-26,75
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,2,IBRAGIMOVA KARINA,IBRAGIMOVA KARINA,KAZ,Silver,2023-03-26,75
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,3,ZIDANI AMINA,ZIDANI AMINA,FRA,Bronze,2023-03-26,75
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,3,STANEVA SVETLANA_KAMENOVA,STANEVA SVETLANA_KAMENOVA,BUL,Bronze,2023-03-26,75
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,5,ROMEU JUCIELEN,ROMEU JUCIELEN,BRA,,2023-03-26,75
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,5,ALCALA OMARILYN,ALCALA OMARILYN,VEN,,2023-03-26,75
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Pool winner-Elite Women 54-57KG Feather,5,MANISHA MANISHA,MANISHA MANISHA,IND,,2023-03-26,75
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,1,FERREIRA BEATRIZ_IASMIM,FERREIRA BEATRIZ_IASMIM,BRA,Gold,2023-03-26,76
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,2,VALDEZ_PANA ANGIE_PAOLA,VALDEZ_PANA ANGIE_PAOLA,COL,Silver,2023-03-26,76
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,3,OH YEONJI,OH YEONJI,KOR,Bronze,2023-03-26,76
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,3,YANG WENLU,YANG WENLU,CHN,Bronze,2023-03-26,76
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,5,TAGUCHI AYAKA,TAGUCHI AYAKA,JPN,,2023-03-26,76
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,5,JAISMINE JAISMINE,JAISMINE JAISMINE,IND,,2023-03-26,76
