event,date,division,rank,name,name_short,country,medal,date_raw,_page
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,5,HADJILA KHELIF,HADJILA KHELIF,ALG,,2023-03-26,76
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 57-60KG Light,5,VOLOSSENKO RIMMA,VOLOSSENKO RIMMA,KAZ,,2023-03-26,76
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,1,YANG CHENGYU,YANG CHENGYU,CHN,Gold,25.03,77
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,2,SYCHUGOVA NATALIYA,SYCHUGOVA NATALIYA,RUS,Silver,25.03,77
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,3,CAMILO_BRAVO CAMILA GABRIELA,CAMILO_BRAVO CAMILA_GABRIELA,COL,Bronze,25.03,77
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,3,BENMESSAHEL FATIA,BENMESSAHEL FATIA,FRA,Bronze,25.03,77
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,5,KITO MAI,KITO MAI,JPN,,25.03,77
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,5,ABDULLAEVA KHADICHABONU,ABDULLAEVA KHADICHABONU,UZB,,25.03,77
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,5,SU CHING-WEN,SU CHING-WEN,TPE,,25.03,77
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-25,Elite Women 60-63KG Light Welter,5,SOLIS_ACOSTA GUADALUPE_ALTAGRACIA,SOLIS_ACOSTA GUADALUPE_ALTAGRACIA,MEX,,25.03,77
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,1,YANG LIU,YANG LIU,CHN,Gold,2023-04-09,78
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,2,SUWANNAPHENG JANJAEM,SUWANNAPHENG JANJAEM,THA,Silver,2023-04-09,78
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,3,RYABETS NADEZHDA,RYABETS NADEZHDA,KAZ,Bronze,2023-04-09,78
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,3,KHAMIDOVA NAVBAKHOR,KHAMIDOVA NAVBAKHOR,UZB,Bronze,2023-04-09,78
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,5,PINEIRO_AQUINO STEPHANIE,PINEIRO_AQUINO STEPHANIE,PUR,,2023-04-09,78
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,5,SOARES BEATRIZ,SOARES BEATRIZ,BRA,,2023-04-09,78
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-04-09,Elite Women 63-66KG Welter,5,GOMES_MOREIRA IVANUSA,GOMES_MOREIRA IVANUSA,CPV,,2023-04-09,78
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,1,DEMURCHIAN ANASTASIIA,DEMURCHIAN ANASTASIIA,RUS,Gold,2023-03-26,79
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,2,"SCOTT KAYE, FRANCES","SCOTT KAYE, FRANCES",AUS,Silver,2023-03-26,79
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,3,ZHOU PAN,ZHOU PAN,CHN,Bronze,2023-03-26,79
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,3,DOS_SANTOS BARBARA,DOS SANTOS BARBARA,BRA,Bronze,2023-03-26,79
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,5,CHAIB ICHRAK,CHAIB ICHRAK,ALG,,2023-03-26,79
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,5,"DOS SANTOS ALCINDA, LUCAS","DOS SANTOS ALCINDA, LUCAS",MOZ,,2023-03-26,79
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,5,VASQUEZ_CORTES LUISA_FERNANDA,VASQUEZ_CORTES LUISA_FERNANDA,COL,,2023-03-26,79
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 66-70KG Light Middle,5,NURSHAYEVA MADINA,NURSHAYEVA MADINA,KAZ,,2023-03-26,79
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,1,BORGHAIN LOVLINA,BORGHAIN LOVLINA,IND,Gold,26.03,80
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,2,PARKER CAITLIN_ANNE,PARKER CAITLIN_ANNE,AUS,Silver,26.03,80
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,3,LI QIAN,LI QIAN,CHN,Bronze,26.03,80
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,3,KHALZOVA VALENTINA,KHALZOVA VALENTINA,KAZ,Bronze,26.03,80
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,5,GRAMANE RADY_ADOSINDA,GRAMANE RADY_ADOSINDA,MOZ,,26.03,80
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,5,BYLON ATHEYNA,BYLON ATHEYNA,PAN,,26.03,80
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,5,MICHEL DAVINA_MYRHA,MICHEL DAVINA_MYRHA,FRA,,26.03,80
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 70-75KG Middle,5,GUNERI ELIF,GUNERI ELIF,TUR,,26.03,80
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 75-81KG Light Heavy,1,SAWEETY SAWEETY,SAWEETY SAWEETY,IND,Gold,2023-03-26,81
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 75-81KG Light Heavy,2,WANG LINA,WANG LINA,CHN,Silver,2023-03-26,81
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 75-81KG Light Heavy,3,GREENTREE EMMA-SUE,GREENTREE EMMA-SUE,AUS,Bronze,2023-03-26,81
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 75-81KG Light Heavy,3,SHOLTAY FARIZA,SHOLTAY FARIZA,KAZ,Bronze,2023-03-26,81
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 75-81KG Light Heavy,5,KEBIKAVA VIKTORIYA,KEBIKAVA VIKTORIYA,BLR,,2023-03-26,81
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 75-81KG Light Heavy,5,NAGY TIMEA,NAGY TIMEA,HUN,,2023-03-26,81
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 75-81KG Light Heavy,5,CHUTEE PORNNIPA,CHUTEE PORNNIPA,THA,,2023-03-26,81
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 75-81KG Light Heavy,5,ANDIEGO ELIZABETH ADHIAMBO,ANDIEGO ELIZABETH ADHIAMBO,KEN,,2023-03-26,81
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 81+KG Heavy,1,MARDI KHADIJA,MARDI KHADIJA,MAR,Gold,2023-03-26,82
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 81+KG Heavy,2,KUNGEEBAYEVA LAZZAT,KUNGEEBAYEVA LAZZAT,KAZ,Silver,2023-03-26,82
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 81+KG Heavy,3,PYATAK DIANA,PYATAK DIANA,RUS,Bronze,2023-03-26,82
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 81+KG Heavy,3,RZAYEVA AYNUR,RZAYEVA AYNUR,AZE,Bronze,2023-03-26,82
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 81+KG Heavy,5,ZHENG LU,ZHENG LU,CHN,,2023-03-26,82
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 81+KG Heavy,5,NUPUR NUPUR,NUPUR NUPUR,IND,,2023-03-26,82
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 81+KG Heavy,5,GUNERI MIHRIBAN,GUNERI MIHRIBAN,TUR,,2023-03-26,82
"IBA Womens World Boxing Championships 2023 , New Delhi, IND",2023-03-26,Elite Women 81+KG Heavy,5,LEE-LO CELINE,LEE-LO CELINE,NZL,,2023-03-26,82
