page,weight,complaint
1,5,"Parth Shrivastva and Aryan Shashi Sharma swam the same time 2:09.32 but are ranked 20 and 22 [Event 1 Men 200m Freestyle Prelim] — a tie was flattened, and both should be 20"
1,5,Dwayne Mario Clemente and Deepak Kumar share rank 24 on different times (2:32.95 / 2:39.28) [Event 1 Men 200m Freestyle Prelim]
1,5,"rank 22 follows rank 20 [Event 1 Men 200m Freestyle Prelim] — no tie justifies the gap, so a row between them was dropped"
