event,event_no,discipline,gender,phase,date,rank,team,leg,swimmer,date_raw,date_source,page
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,6,Kerala,2,Harshitha Jayaram,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,6,Kerala,3,Varsha S,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,6,Kerala,4,Bhadra Sudevan S,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,7,Telangana,1,Sai Akshara Avadootha,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,7,Telangana,2,Johanna Shiju,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,7,Telangana,3,Ditya Chowdary Vemulapalli,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,12,4 x 100m Medley,Women,Results,2025-01-30,7,Telangana,4,Aditi Nadella,30-01-2025,session date printed on block heading,5
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,1,Karnataka,1,Dhakshan S,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,1,Karnataka,2,Shoan Ganguly,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,1,Karnataka,3,Aneesh S Gowda,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,1,Karnataka,4,Srihari Nataraj,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,2,Gujarat,1,Aryan Nehra,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,2,Gujarat,2,Anshul Kothari,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,2,Gujarat,3,Vraj Patel,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,2,Gujarat,4,Devansh Parmar,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,3,Maharashtra,1,Shubham Dadaso Dhaygude,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,3,Maharashtra,2,Om Pravin Satam,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,3,Maharashtra,3,Rishi Rajesh Bhagat,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,3,Maharashtra,4,Rishabh Das,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,4,Andhra Pradesh,1,Mongam Theerdu Samadev,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,4,Andhra Pradesh,2,Neelam Deva Ganesh,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,4,Andhra Pradesh,3,Sarath Mogili,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,4,Andhra Pradesh,4,Gotteti Sampath Kumar Yadav,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,5,SSCB,1,Unni Krishnan S,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,5,SSCB,2,Ronak Nitin Sawant,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,5,SSCB,3,Ansukar,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,5,SSCB,4,Chavan Aniket Vithoba,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,6,Tamilnadu,1,M.J.Praveen Kumar,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,6,Tamilnadu,2,V.Leonard,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,6,Tamilnadu,3,Joshua Thomas,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,6,Tamilnadu,4,Nithik Nathella,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,7,Bengal,1,Soumyajit Saha,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,7,Bengal,2,Utsab Datta,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,7,Bengal,3,Parambrata Biswas,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,7,Bengal,4,Sougata Das,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,8,Madhya Pradesh,1,Ayushman Dubey,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,8,Madhya Pradesh,2,Anvesh Singh,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,8,Madhya Pradesh,3,Shlok Gureja,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,23,4 x 200m Freestyle,Men,Results,2025-02-01,8,Madhya Pradesh,4,Bhavesh Choudhary,01-02-2025,Event 22 heading,9
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,1,Karnataka,1,Shirin,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,1,Karnataka,2,Shalini R Dixit,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,1,Karnataka,3,Meenakshi Menon,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,1,Karnataka,4,Dhinidhi Desinghu,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,2,Maharashtra,1,Anvi Deshwal,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,2,Maharashtra,2,Saanvi Deshwal,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,2,Maharashtra,3,Dhirti Ahirwal,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,2,Maharashtra,4,Aditi Satish Hegde,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,3,Tamilnadu,1,Deeksha Sivakumar,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,3,Tamilnadu,2,Adwika G Nair,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,3,Tamilnadu,3,Dhayanitha S,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,3,Tamilnadu,4,Shreenithi Natesan,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,4,Odisha,1,Pratyasa Ray,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,4,Odisha,2,Shristi Upadhaya,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,4,Odisha,3,Anshika Aradhna Sahoo,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,4,Odisha,4,Divyanka Dibyajyoti Pradhan,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,5,Delhi,1,Awesome,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,5,Delhi,2,Hema,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,5,Delhi,3,Titiksha Rawat,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,5,Delhi,4,Bhavya Sachdeva,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,6,Kerala,1,Nirmala. R,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,6,Kerala,2,Dakshina Bijo P,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,6,Kerala,3,Bhadra Sudevan S,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,24,4 x 200m Freestyle,Women,Results,2025-02-01,6,Kerala,4,Avanthika Pradeep,01-02-2025,Event 24 heading,10
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,1,Karnataka,1,Akash Mani,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,1,Karnataka,2,Nina Venkatesh,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,1,Karnataka,3,Dhinidhi Desinghu,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,1,Karnataka,4,Srihari Nataraj,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,2,Maharashtra,1,Heer Gitesh Shah,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,2,Maharashtra,2,Avantika Chawan,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,2,Maharashtra,3,Aditi Satish Hegde,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,2,Maharashtra,4,Rishabh Das,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,3,Tamilnadu,1,Joshua Thomas,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,3,Tamilnadu,2,Deeksha Sivakumar,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,3,Tamilnadu,3,Shreenithi Natesan,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,3,Tamilnadu,4,Benedicton Rohit,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,4,Assam,1,Jananjoy Jyoti Hazarika,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,4,Assam,2,Jahnabi Kashyap,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,4,Assam,3,Asta Choudhury,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,4,Assam,4,Tirthank Pegu,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,5,Delhi,1,Bhavya Sachdeva,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,5,Delhi,2,Raiyan Rajeeb,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,5,Delhi,3,Titiksha Rawat,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,5,Delhi,4,Kushagra Rawat,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,6,Bengal,1,Snigdha Ghosh,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,6,Bengal,2,Parambrata Biswas,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,6,Bengal,3,Soubrit Mondal,03-02-2025,Event 37 heading,15
38th NATIONAL GAMES 2025,37,4 x 100m Freestyle,Mixed,Results,2025-02-03,6,Bengal,4,Sougata Das,03-02-2025,Event 37 heading,15
