event,date,division,page_type,rank,name,name_short,country,medal,previous_rank,points_total,date_raw,_page
WORLD BOXING,,MEN'S 90+KG RANKINGS,ranking_table,14,Khalimjon MAMASOLIEV,Khalimjon MAMASOLIEV,UZB,,12,225.0,,21
WORLD BOXING,,MEN'S 90+KG RANKINGS,ranking_table,14,Luka PRATLJACIC,Luka PRATLJACIC,CRO,,12,225.0,,21
WORLD BOXING,,MEN'S 90+KG RANKINGS,ranking_table,17,Mahammad ABDULLAYEV,Mahammad ABDULLAYEV,AZE,,14,206.25,,21
WORLD BOXING,,MEN'S 90+KG RANKINGS,ranking_table,18,Daniyal SAPARBAY,Daniyal SAPARBAY,KAZ,,17,168.75,,21
WORLD BOXING,,MEN'S 90+KG RANKINGS,ranking_table,19,Muhammad ABRORIDINOV,Muhammad ABRORIDINOV,TJK,,18,150.0,,21
WORLD BOXING,,MEN'S 90+KG RANKINGS,ranking_table,19,Orkhan AGHAYEV,Orkhan AGHAYEV,UAE,,18,150.0,,21
WORLD BOXING,,MEN'S 90+KG RANKINGS,ranking_table,21,Kelvin WATTS,Kelvin WATTS,USA,,21,78.75,,21
WORLD BOXING,,MEN'S 90+KG RANKINGS,ranking_table,22,Amin Younes OUCHAOU,Amin Younes OUCHAOU,GER,,22,75.0,,21
WORLD BOXING,,MEN'S 90+KG RANKINGS,ranking_table,23,Beyknur KHALI,Beyknur KHALI,MGL,,23,50.0,,21
WORLD BOXING,,MEN'S 90+KG RANKINGS,ranking_table,24,Dean NWOKEDI CHIME,Dean NWOKEDI CHIME,ITA,,24,45.0,,21
WORLD BOXING,,MEN'S 90+KG RANKINGS,ranking_table,25,Iderbat DAVAALKHAGVA,Iderbat DAVAALKHAGVA,MGL,,25,37.5,,21
WORLD BOXING,,MEN'S 90+KG RANKINGS,ranking_table,26,Alejandro CRUZ,Alejandro CRUZ,MEX,,26,11.25,,21
